qdate,bid_1,ave_1,ask_1,dur_1,crspid_1,bid_3,ave_3,ask_3,dur_3,crspid_3
19751128,5.357,5.184,5.011,35,19760102.400000,5.656,5.625,5.595,90,19760226.400000
19751231,5.396,5.172,4.948,31,19760131.400000,5.308,5.287,5.266,92,19760401.400000
19760130,4.654,4.521,4.389,34,19760304.400000,4.824,4.794,4.763,90,19760429.400000
19760227,4.776,4.654,4.531,34,19760401.400000,5.101,5.081,5.060,90,19760527.400000
19760331,4.868,4.756,4.643,34,19760504.400000,5.071,5.051,5.030,92,19760701.400000
19760430,4.806,4.694,4.582,32,19760601.400000,5.009,4.988,4.968,90,19760729.400000
19760528,5.274,5.060,4.847,32,19760629.400000,5.605,5.584,5.564,90,19760826.400000
19760630,5.368,5.296,5.225,36,19760805.400000,5.482,5.462,5.441,92,19760930.400000
19760730,5.163,5.081,5.000,34,19760902.400000,5.276,5.266,5.255,90,19761028.400000
19760831,4.876,4.764,4.652,30,19760930.400000,5.236,5.195,5.154,93,19761202.400000
19760930,5.143,5.082,5.021,35,19761104.400000,5.163,5.153,5.143,91,19761230.400000
19761029,4.817,4.756,4.694,34,19761202.400000,4.988,4.978,4.968,90,19770127.400000
19761130,4.419,4.347,4.276,30,19761230.400000,4.507,4.497,4.487,93,19770303.400000
19761231,4.308,4.257,4.206,34,19770203.400000,4.424,4.404,4.383,90,19770331.400000
19770131,4.622,4.551,4.480,31,19770303.400000,4.897,4.856,4.815,92,19770503.400000
19770228,4.531,4.429,4.327,31,19770331.400000,4.835,4.794,4.753,92,19770531.400000
19770331,4.623,4.541,4.460,33,19770503.400000,4.630,4.609,4.589,91,19770630.400000
19770429,4.561,4.388,4.215,32,19770531.400000,4.783,4.763,4.742,90,19770728.400000
19770531,5.018,4.835,4.652,28,19770628.400000,5.133,5.113,5.092,93,19770901.400000
19770630,5.011,4.949,4.888,35,19770804.400000,5.081,5.071,5.061,91,19770929.400000
19770729,5.479,5.346,5.214,34,19770901.400000,5.512,5.492,5.471,90,19771027.400000
19770831,5.480,5.378,5.276,36,19771006.400000,5.678,5.667,5.657,92,19771201.400000
19770930,5.948,5.815,5.683,34,19771103.400000,6.016,6.006,5.996,90,19771229.400000
19771031,5.936,5.824,5.712,31,19771201.400000,6.296,6.255,6.214,94,19780202.400000
19771130,5.796,5.694,5.592,36,19780105.400000,6.223,6.192,6.161,92,19780302.400000
19771230,5.876,5.754,5.632,34,19780202.400000,6.263,6.243,6.222,90,19780330.400000
19780131,6.129,5.997,5.864,30,19780302.400000,6.604,6.563,6.521,91,19780502.400000
19780228,6.231,6.088,5.946,30,19780330.400000,6.564,6.543,6.523,93,19780601.400000
19780331,6.579,6.497,6.416,32,19780502.400000,6.614,6.603,6.593,90,19780629.400000
19780428,6.191,6.049,5.906,32,19780530.400000,6.387,6.366,6.346,90,19780727.400000
19780531,6.642,6.510,6.377,36,19780706.400000,6.800,6.780,6.759,92,19780831.400000
19780630,6.692,6.560,6.427,34,19780803.400000,7.170,7.160,7.150,90,19780928.400000
19780731,6.670,6.517,6.364,31,19780831.400000,7.060,7.018,6.977,94,19781102.400000
19780831,7.755,7.601,7.448,35,19781005.400000,7.719,7.698,7.677,91,19781130.400000
19780929,8.193,8.019,7.846,34,19781102.400000,8.173,8.152,8.131,90,19781228.400000
19781031,8.853,8.536,8.220,30,19781130.400000,8.973,8.942,8.911,93,19790201.400000
19781130,9.247,9.063,8.879,35,19790104.400000,9.241,9.220,9.199,91,19790301.400000
19781229,8.796,8.428,8.060,34,19790201.400000,9.499,9.478,9.457,90,19790329.400000
19790131,9.624,9.522,9.420,34,19790306.400000,9.533,9.512,9.491,92,19790503.400000
19790228,9.716,9.542,9.369,34,19790403.400000,9.699,9.678,9.657,92,19790531.400000
19790330,9.755,9.642,9.530,32,19790501.400000,9.686,9.665,9.644,90,19790628.400000
19790430,9.723,9.569,9.416,31,19790531.400000,9.785,9.733,9.681,94,19790802.400000
19790531,9.779,9.687,9.595,35,19790705.400000,9.822,9.812,9.801,91,19790830.400000
19790629,9.113,8.990,8.867,34,19790802.400000,9.177,9.157,9.136,90,19790927.400000
19790731,9.231,9.098,8.965,30,19790830.400000,9.420,9.399,9.378,93,19791101.400000
19790831,10.197,10.054,9.911,34,19791004.400000,10.070,10.049,10.029,90,19791129.400000
19790928,10.422,10.279,10.136,34,19791101.400000,10.393,10.382,10.372,90,19791227.400000
19791031,11.922,11.717,11.512,36,19791206.400000,12.483,12.451,12.420,92,19800131.400000
19791130,11.109,10.904,10.699,34,19800103.400000,11.820,11.758,11.695,90,19800228.400000
19791231,9.467,9.344,9.222,31,19800131.400000,12.357,12.253,12.148,92,19800401.400000
19800131,11.927,11.722,11.517,33,19800304.400000,12.355,12.334,12.313,91,19800501.400000
19800229,13.873,13.616,13.360,32,19800401.400000,14.459,14.407,14.354,90,19800529.400000
19800331,15.307,15.051,14.794,31,19800501.400000,15.546,15.398,15.250,94,19800703.400000
19800430,9.494,9.238,8.982,36,19800605.400000,10.677,10.635,10.593,92,19800731.400000
19800530,7.325,7.182,7.039,34,19800703.400000,7.935,7.904,7.873,90,19800828.400000
19800630,6.476,6.201,5.926,31,19800731.400000,8.166,8.093,8.021,94,19801002.400000
19800731,7.663,7.499,7.336,35,19800904.400000,8.836,8.805,8.774,91,19801030.400000
19800829,9.450,9.297,9.144,34,19801002.400000,10.228,10.186,10.144,91,19801128.400000
19800930,11.000,10.795,10.590,30,19801030.400000,11.776,11.744,11.713,94,19810102.400000
19801031,11.847,11.683,11.519,34,19801204.400000,13.096,13.064,13.033,90,19810129.400000
19801128,14.806,14.652,14.497,35,19810102.400000,14.953,14.911,14.869,90,19810226.400000
19801231,12.805,12.528,12.251,36,19810205.400000,14.770,14.728,14.686,92,19810402.400000
19810130,14.176,13.919,13.663,34,19810305.400000,15.069,15.027,14.985,90,19810430.400000
19810227,14.217,14.032,13.847,34,19810402.400000,14.680,14.648,14.617,90,19810528.400000
19810331,13.150,13.017,12.883,30,19810430.400000,12.841,12.799,12.757,93,19810702.400000
19810430,13.984,13.819,13.655,35,19810604.400000,15.357,15.315,15.272,91,19810730.400000
19810529,16.223,16.150,16.078,34,19810702.400000,15.606,15.564,15.522,90,19810827.400000
19810630,14.565,14.411,14.257,30,19810730.400000,14.752,14.710,14.668,93,19811001.400000
19810731,15.091,14.957,14.824,34,19810903.400000,15.364,15.332,15.301,90,19811029.400000
19810831,15.112,14.968,14.825,31,19811001.400000,16.127,16.042,15.958,94,19811203.400000
19810930,14.120,13.997,13.873,36,19811105.400000,15.012,14.907,14.802,92,19811231.400000
19811030,12.811,12.718,12.626,34,19811203.400000,13.138,13.106,13.075,90,19820128.400000
19811130,10.357,10.244,10.132,31,19811231.400000,10.638,10.586,10.534,94,19820304.400000
19811231,9.779,9.636,9.492,35,19820204.400000,11.394,11.352,11.311,91,19820401.400000
19820129,12.031,11.929,11.826,34,19820304.400000,12.876,12.824,12.771,90,19820429.400000
19820226,11.929,11.826,11.724,34,19820401.400000,12.813,12.719,12.625,90,19820527.400000
19820331,13.575,13.421,13.267,36,19820506.400000,13.614,13.562,13.509,92,19820701.400000
19820430,12.339,12.236,12.134,34,19820603.400000,12.667,12.614,12.562,90,19820729.400000
19820528,11.570,11.437,11.303,34,19820701.400000,11.831,11.789,11.747,90,19820826.400000
19820630,11.932,11.779,11.625,36,19820805.400000,13.153,13.121,13.090,92,19820930.400000
19820730,9.000,8.919,8.837,34,19820902.400000,10.445,10.424,10.403,90,19821028.400000
19820831,6.364,6.211,6.058,30,19820930.400000,8.631,8.590,8.548,93,19821202.400000
19820930,7.121,7.019,6.917,35,19821104.400000,7.801,7.781,7.760,91,19821230.400000
19821029,7.744,7.703,7.662,34,19821202.400000,8.090,8.059,8.028,90,19830127.400000
19821130,7.720,7.628,7.536,30,19821230.400000,8.486,8.455,8.424,93,19830303.400000
19821231,8.132,8.060,7.989,34,19830203.400000,8.111,8.080,8.048,90,19830331.400000
19830131,8.098,8.037,7.976,31,19830303.400000,8.311,8.259,8.207,94,19830505.400000
19830228,7.476,7.425,7.374,31,19830331.400000,8.145,8.104,8.062,94,19830602.400000
19830331,8.613,8.572,8.531,35,19830505.400000,8.857,8.836,8.816,91,19830630.400000
19830429,8.152,8.111,8.070,34,19830602.400000,8.276,8.255,8.235,90,19830728.400000
19830531,8.128,8.077,8.026,30,19830630.400000,8.890,8.859,8.828,93,19830901.400000
19830630,8.746,8.695,8.644,35,19830804.400000,9.013,8.981,8.950,91,19830929.400000
19830729,8.949,8.919,8.888,34,19830901.400000,9.457,9.447,9.437,90,19831027.400000
19830831,9.187,9.146,9.105,36,19831006.400000,9.502,9.481,9.460,92,19831201.400000
19830930,8.786,8.755,8.724,34,19831103.400000,8.929,8.908,8.887,90,19831229.400000
19831031,8.486,8.446,8.405,31,19831201.400000,8.715,8.684,8.653,94,19840202.400000
19831130,8.542,8.502,8.461,36,19840105.400000,9.107,9.097,9.086,92,19840301.400000
19831230,8.673,8.643,8.612,34,19840202.400000,9.198,9.177,9.157,90,19840329.400000
19840131,8.914,8.884,8.853,30,19840301.400000,9.119,9.108,9.098,93,19840503.400000
19840229,8.921,8.890,8.860,36,19840405.400000,9.377,9.367,9.356,92,19840531.400000
19840330,9.583,9.553,9.522,34,19840503.400000,9.977,9.966,9.956,90,19840628.400000
19840430,9.304,9.263,9.222,31,19840531.400000,9.982,9.961,9.941,94,19840802.400000
19840531,9.390,9.359,9.329,35,19840705.400000,10.009,9.999,9.988,91,19840830.400000
19840629,9.389,9.358,9.328,34,19840802.400000,10.185,10.174,10.164,90,19840927.400000
19840731,9.670,9.650,9.629,30,19840830.400000,10.689,10.678,10.668,93,19841101.400000
19840831,10.740,10.719,10.699,34,19841004.400000,10.923,10.903,10.882,90,19841129.400000
19840928,10.463,10.433,10.402,34,19841101.400000,10.476,10.424,10.372,90,19841227.400000
